id,passage
85413,"Galactosylceramide beta-galactosidase cross reacting material was demonstrated 
in brain, liver, and skin fibroblasts from patients with Krabbe disease. The 
mutant enzyme was antigenically identical to the normal enzyme and exhibited 
similar electrophoretic mobility. Normal quantities of the catalytically 
deficient enzyme were measured in the patients' tissues by a sensitive single 
radial immunodiffusion assay, indicating that the mutation is in structural gene 
for the enzyme protein."
133304,"A report of a patient with granulomatous peritonitis following general surgery 
is presented. Laparoscopy was performed as the final diagnostic procedure. 
Prevention is the remedy for this iatrogenic problem."
134458,"4103 cases suspected of mycoses were analysed as to sex, age and site of disease 
and 3891 were proved cases. This group formed 50% of total mycoses or 13-93% of 
all dermatoses recorded in the Government General Hospital, Madras, during the 
period of study. There were 66-26% adult female, 27-6% adult male and 6-14% were 
below 13 years. Dermatophytoses were found in 73-5%; the other common diseases 
were tinea versicolor (17-68%) and candidiasis (12-43%). Multiple sites of 
involvement or more than 1 disease in the same individual were mostly observed. 
The incidence of piedra (0-1%) and deep mycoses (0-156%) was very low. Mycetoma 
was the common disease (5/6) in deep mycoses. In dermatophytoses, tinea corporis 
(49-71%) and tinea cruris (47-85%) commonest; tinea axillaris (3-42%), tinea 
capitis (1-72%) and tinea barbae (1-29%) were less common. The incidence of 
tinea manuum, tinea pedis and tinea unguium was similar (4-97%-6-38%). High 
temperature and humidity were related to the higher incidence of tinea corporis, 
tinea cruris and tinea versicolor. Mainly children suffered from tinea capitis. 
All other mycoses were commonly found in adults between 2nd and 3rd decades. In 
all mycoses but candidiasis, female predominated. Cutaneous candidiasis was 
mainly a problem of housewives. Among the dermatophytes Trichophyton violaceum 
was predominant (33-7%) followed by T. rubrum (32-6%). Trichophyton schoenleinii 
and M. gypseum were rarely isolated. From mycetoma, Madurella mycetomii, 
Nocardia braziliensis, N. asteroides and Actinomadura spp. were isolated. 
Demonstration of Cryptococcus laurentii in 1 case is reported in this area for 
the first time."
135896,"This paper reports about a female mutational falsetto, that means an unusual 
high (309 Hz base frequency) fundamental frequency of the speaking voice in a 
19-year-old girl. The psychological background and the epicrisis as well as the 
practical negative result of the hormon- and metabolism examination allow the 
diagnosis of this rare disturbance of the voice, the formal classification of 
which would on the other hand also allow the statement of a phononeurosis with a 
too high fundamental frequency of the speaking voice because the behavior of the 
voice from the menarche (12 years) up to the first examination does not seem 
assured definately. The individual median fundamental frequency of the speaking 
voice has inally been obtained at 270 Hz. Energy range of the speaking voice has 
been measured, glottography and sonagraphy has been carried out, all of which 
show the course of treatment clearly. It has been remarked critically that there 
has to be found a method to better reproduce the hearing impression in a figure. 
Investigations according to this have been made."
152622,"Animal experiments suggest that opiate peptides might play a role in 
extrapyramidal function. This hypothesis was tested by administering the opiate 
antagonist, naltrexone, in doses sufficient to antagonize exogenous opiates, to 
patients with parkinsonism and Huntington's disease. No improvement in the 
clinical features of either disorder was noted."
159767,"Certain drugs are transformed into reactive metabolites by cytochrome P-450, a 
hepatic microsomal enzyme. The reactive metabolites covalently bind to 
hepatocyte macromolecules, thus determining liver lesions. Induction of 
microsomial enzymes increases the formation of reactive metabolites and 
exaggerates hepatotoxicity of these drugs."
164278,"Protein methylase III (S-adenosylmethionine:proteinlysine methyltransferase; ED 
2.1.1.25) and protein methylase I (S-adenosylmethionine:protein-arginine 
methyltransferase; EC 2.1.1.23) activities were examined in isolated nuclei and 
cytosol fraction, respectively, from various hepatomas with different growth 
rates. The enzyme activities of both enzymes paralleled the rates of tumor 
growth in fast- and moderately growing hepatomas. The parallelism was more 
evident with protein methylase I than with protein methylase III. While protein 
methylase III activity was elevated in the fast- to moderately growing 
hepatomas, the enzyme that is responsible for demethylating proteins, 
epsilon-alkyllysinase (epsilon-slkyl-L-lysine:oxygen oxidoreductase; EC 
1.5.3.4), had an inverse relationship to the rate of tumor growth, thus 
suggesting a possible physiological antagonism. When isolated rat liver nuclei 
were methylated in vitro with S-adenosyl-L-[methyl-14 C]methionine as methyl 
donor, H2SO4-insoluble protein and histones had almost equal amounts of 
methyl-14 C incorporated. However, amino acid analysis revealed that methylated 
arginines are the predominant form of radioactivity in the H2SO4-insoluble 
protein (product of protein methylase I), while methylated lysines are the major 
methylated amino acids in the histones (product of protein methylase III). 
Furthermore, the hydrolysate of the H2SO4-insoluble protein showed four unknown 
radioactivity peaks on the amino acid analyzer in addition to the known 
methylated arginine and lysine derivatives."
169249,"The thyrotropin receptor from bovine thyroid plasma membranes has been 
solubilized using lithium diiodosalicylate, and an assay to measure thyrotropin 
binding to the solubilized receptor has been developed. Both the solubilized 
thyrotropin receptor and the thyrotropin receptor on thyroid plasma membranes 
have effectively identical nonlinear Scatchard plots and negatively sloped Hill 
plots, i.e. both preparations have receptors which appear to exhibit a similar 
negatively cooperative relationship. Although the pH optimum of thyrotropin 
binding to the solubilized receptor is the same as that of the thyroid plasma 
membrane receptor, pH 6.0, the pH dependency curve of the solubilized receptor 
is slightly different in its outline. Thyrotropin binding to the solubilized 
receptor is less sensitive to salt inhibition than is binding to the thyroid 
plasma membrane receptor; however, optimal binding remains at 0 degrees. The 
relative affinities of thyrotropin and two glycoprotein hormones which can be 
considered structural analogs, luteinizing hormone and human chorionic 
gonadotropin, are 100:10:5, respectively, toward plasma membrane receptors, but 
100:25:40 toward the solubilized receptors. The solubilized receptor preparation 
is heterogeneous in size in that it has binding components with molecular 
weights of 286,000, 160,000, 75,000, and 15,000 to 30,000. Tryptic digestion 
converts all three higher molecular weight components to the 15,000 to 30,000 
molecular weight species, and the 15,000 to 30,000 molecular weight receptor 
component has all of the binding properties of the solubilized receptor 
preparation before tryptic digestion including an identical nonlinear Scatchard 
plot. It has the same size as and coelutes from Sephadex G-100 with a 15,000 to 
30,000 molecular weight receptor released by tryptic digestion of bovine thyroid 
plasma membranes or tryptic digestion of bovine or dog thyroid cells in culture. 
The tryptic fragment of the solubilized receptor or preparations has been 
purified almost 250-fold by affinity chromatography on thyrotropin-Sepharose 
columns. The binding activity is lost when the solubilized thyrotropin receptor 
preparation is exposed to beads of neuraminidase-Sepharose or conconavalin 
A-Sepharose."
178234,"The results of various in vitro analyses indicate there is an active immune 
response against antigens associated with human malignancies. This immune 
response apparently can be augmented by nonspecific immunologic stimulates such 
as BCG. These agents are effective for destroying tumor when injected locally 
into intracutaneous disease but are not as effective for subcutaneous disease. 
Preliminary clinical trials indicated that immune stimulants are effective when 
administered systemically. The effect is only minimal for diseminated disease, 
but the therapeutic benefit is clearly augmented for patients with a minimal 
residual tumor burden, such as those patients with metastases to regional lymph 
nodes. Thus immunotherapy is a systemically active mode of therapy. Its toxicity 
is minimal, and it appears to be effective in a wide spectrum of the disease. 
However, immunotherapy is not effective for a large residual tumor burden; 
consequently it must be used in combination with other modes of treatment such 
as irradiation therapy or chemotherapy. Early experiences with BCG immunotherapy 
for malignant melanoma and C. parvum for oat cell carcinoma are encouraging. It 
is remarkable that a nonspecific immunologic stimulant does, in fact, have this 
effect. Immunotherapy experiments in animals suggest that in order to achieve 
maximal benefit. BCG must have close contact with tumor cells or must be 
combined with a tumor-associated antigen. If these principles are true for man, 
it would seem that improvements for nonspecific immunotherapy in human neoplasms 
would be further augmented if a tumor-related antigen could be extracted from 
human tumours and combined with a nonspecific immunologic stimulant."
179993,"Previous studies have shown that cultured fibroblasts derived from patients with 
genetic defects in lysosomal acid lipase (i. e. the Wolman Syndrome and 
Cholesteryl Ester Storage Disease) are defective in their ability to hydrolyze 
the cholesteryl esters contained in plasma low density lipoprotein (LDL). As a 
result, these mutant cells show a reduced responsiveness to the regulatory 
actions of LDL, as evidenced by a decreased LDL-mediated suppression of the 
activity of 3-hydroxy-3-methylglutaryl coenzyme A reductase and by a decreased 
LDL-mediated activation of cellular cholesteryl ester formation. In the current 
studies, the Wolman Syndrome and Cholesteryl Ester Storage Disease cells were 
grown in the same Petri dish with mutant fibroblasts derived from a patient with 
the homozygous form of Familial Hypercholesterolemia. Whereas pure monolayers of 
either the Familial Hypercholesterolemia cells (lacking cell surface LDL 
receptors) or the acid lipase-deficient cells (lacking cholesteryl ester 
hydrolase activity) responded poorly to LDL, the mixed monolayers developed 
lipoprotein responsiveness as measured by an enhancement of both LDL-mediated 
suppression of 3-hydroxy-3-methylglutaryl coenzyme A reductase activity and 
LDL-mediated stimulation of cholesteryl ester formation. This effect was shown 
to result from the release of the lysosomal acid lipase from the Familial 
Hypercholesterolemia homozygote cells into the culture medium and its subsequent 
uptake by the acid lipase-deficient cells. The acquisition of this acid lipase 
activity enhanced the ability of the Wolman Syndrome and Cholesteryl Ester 
Storage Disease cells to respond to the lipoprotein by suppression of 
3-hydroxy-3-methylglutaryl coenzyme A reductase and activation of cellular 
cholesteryl ester formation. These data emphasize the importance of the 
lysosomal acid lipase in the cellular metabolism of LDL cholesteryl esters and, 
in addition, demonstrate that delivery of this enzyme to genetically deficient 
cells can enhance the regulatory response to the lipoprotein."
187357,"Addition of exogen DB-c AMP in medium of human fibroblasts culture, with 46 XX 
karyotypes, enables us to observe a high frequency of Barr bodies, about 80 or 
85%. This observation suggests that the condensation of the X chromosome in the 
form of Barr bodies depends on the level of endogen cyclic AMP."
192600,"Nine active neurohypophyseal principles have been isolated and identified among 
the vertebrates. Arginine-vasotocin is the most ubiquitous, occurring in 
pituitary glands from representatives of all the major vertebrate groups. There 
is much more variation in structure among the principles that resemble oxytocin. 
The manner in which these evolved remains unclear. Arginine-vasotocin stimulates 
smooth muscles from a wide variety of vertebrate species. It can stimulate 
contraction of oviducts from many jawed fishes and tetrapods. The oxytocin-like 
peptides are usually less active in this respect. Among adult mammals 
arginine-vasotocin is replaced by arginine-vasopressin which has much less 
oxytocin activity. Thus, although arginine-vasotocin may both stimulate oviducts 
and cause water retention in nonmammalian tetrapods, oxytocic and antidiuretic 
functions can be regulated independently by oxytocin and vasopressin in mammals. 
Arginine-vasotocin elicits vasoconstrictor responses in even the most primitive 
vertebrates. These may be systemic or regional. Their distribution may determine 
whether arginine-vasotocin acts as a diuretic or an antidiuretic agent. It is 
possible that the most primitive neurohypophyseal functions were related to 
cardiovascular regulation and that the neurohypophysis acquired its 
osmoregulatory functions later in vertebrate evolution."
196592,"A protein methylase III responsible for specifically methylating the cytochrome 
c in Neurospora crassa was partially characterized by using unmethylated horse 
heart cytochrome c as a substrate. This enzyme utilizes S-adenosyl-L-methionine 
as the methyl donor. An analysis of the distribution of [14C]methyl groups in 
the peptides obtained by chymotrypsin digestion of the enzymically methylated 
cytochrome c showed that all of the radioactivity could be recovered within a 
single peak after chromatography. This indicates that the enzyme methylates a 
specific amino acid sequence within cytochrome c. On hydrolysis of the 
radioactive chymotryptic peptide, Me-14C-labelled epsilon -N-mono-methyl-lysine, 
epsilon-N-dimethyl-lysine and epsilon-N-trimethyl-lysine were identified. The 
enzyme can easily be extracted from the N. crassa mycelial pads and was purified 
approx. 30-fold."
204459,"De novo purine biosynthesis has been studied in lymphocyte cell lines 
established from Lesch-Nyhan patients deficient in hypoxanthine-guanine 
phosphoribosyltransferase (HGPRT), in in vitro differentiating erythroleukaemic 
cell lines cloned from cells charactistic of virus-induced murine leukaemia, and 
in mutant hamster cells deficient in amidophosphoribosyltransferase. The 
relationship between cellular phosphoribosylpyrophosphate (PP-ribose-P) 
metabolism and the activity of the enzymes which catalyse the early steps of de 
novo purine biosynthesis has been explored. It was found that hamster cells 
deficient in amidophosphoribosyltransferase did not accumulate PP-ribose-P as do 
HGPRT-deficient cells. In these model systems, an accelerated rate of de novo 
purine biosynthesis tended to be associated with an increase in cellular 
PP-ribose-P cotent, but decreases in this rate results from the reduction in the 
activity of amidophosphoribosyltransferase. Regulation of ammonia-dependent de 
novo purine biosynthesis was similar to that of glutamine-dependent purine 
biosynthesis."
207959,"14 previously untreated patients with hyperlipoproteinemia type IIa according to 
Fredrickson underwent a controlled clinical trial. The study was designed to 
clarify the effects of clofibrate on the bloodlipids. All patients were willing 
to cooperate. After leaving their usual dietary habits all of them were given 
for seven to ten days a ""prudent"" diet. This diet was rich in vitamins; it had a 
low caloric-content. 20% of the calories consisted of proteins, 35% of 
carbohydrates (sweets were omitted) and about 45% of fats with a PS-factor of 
about 2.2. After the initial dietary treatment all patients were given twice 
daily for 14 days 500 mg clofibrate. During the use of the ""prudent"" diet the 
serum-cholesterol-levels decreased in average with 14.8%. Compared to the values 
at the beginning of the trial the difference was statistically highly 
significant. The average-values of triglycerides, phosphatides and the relative 
percentage of HDL, LDL and VLDL remained unchanged. After the patients received 
clofibrate there was an additional decrease of the serum-cholesterol-values of 
14.8%. The total decrease of the cholesterol-levels compared to the initial 
values amounted to 27.4%. Furthermore, there was a reduction of the phosphatids 
in the serum of 14.1% compared to the initial value and of 9.9% compared to the 
value after dietary treatment alone. Under the combined effects of a ""prudent"" 
diet with clofibrate the HDL increased significantly. It can be assumed that 
clofibrate reduces the serum-cholesterol-levels in cases of hyperlipoproteinemia 
by decreasing the LDL-fraction, which is rich in cholesterol, and by increasing 
the HDL-fraction."
211577,"A material of 89 cases of upper extremity deformities, among the 3225 cleft 
patients born during the period 1950-75, and treated in the Finnish Red Cross 
Cleft Centre is presented. About two-thirds of the patients had an isolated 
cleft palate--half of the male and nearly all of the female patients. The 
percentage of upper extremity deformities appearing with the different types of 
the orofacial clefts was, for clefts of the primary palate 2.0: specifically for 
cleft lip 0.8, cleft lip--palate 2.6, and cleft lip and palate 3.6; and for 
clefts of the secondary palate 3.5: specifically for cleft palate 3.7, submucous 
cleft palate 1.6; and for the branchial arch syndrome (lateral cleft) 5.2; the 
total average being 2.8 percent. About one-third of the patients were dwarfs, 
most of them diastrophic dwarfs. Syndactyly was somewhat more common among cleft 
patients, 0.3%, than in the average population. Polydactyly, 0.1% was about as 
common as the average. Ectrodactyly was more common among cleft patients, 0.4%, 
than either syndactyly or polydactyly that are considered the most common hand 
deformities among the general population. The syndactyly cases were more 
complicated than the average, among them 4 cases of Apert syndrome were noted. 
About three-fourths of the 89 patients had multiple deformities."
213536,"Three patients are described in whom irradiation of 2750 rad or more was used in 
the management of primary brain tumours, and 21 years or more later a second 
brain tumour of a different type occurred. One of the new tumours was a 
meningioma and the other two were cerebral astrocytomas. There is evidence to 
show that moderate doses of ionising radiations given in childhood for tinea 
capitis are associated with a late risk of developing a meningioma. Higher doses 
of radiation used for tumours in childhood are followed also by a late hazard of 
meningioma. There is insufficient evidence to implicate ionising radiations in 
the aetiology of gliomas. The oncogenic hazards of radiotherapy to the brain do 
not outweigh its therapeutic value in brain tumour."
215035,"The energy relationships between cytosolic and mitochondrial metabolism were 
studied in the hearts from euthyroid, hypothyroid, and hyperthyroid rats. 
Isolated mitochondria showed high respiratory control ratios and impermeability 
to exogenous NADH. Hypo- and hyperthyroidism, respectively, resulted in lower 
and higher contents of both cytochromes per mitochondrion and mitochondrial 
protein per gram of wet weight of heart without changes in the ratio of 
cytochrome c to cytochrome aa3. In isolated perfused heart, the hyperthyroid 
state led to an increase in work rate and thereby an elevation of Vo2, which 
resulted in an increase oxidation-reduction turnover number for the cytochromes. 
An agreement was found between [ATP]/[ADP][Pi] of cytosolic free adenine 
nucleotides and the value calculated from a mathematical model of mitochondrial 
respiration. This implies that mitochondrial respiration is controlled at the 
cytochrome oxidase reaction and that oxidative phosphorylation in intact tissue 
is tightly coupled irrespective of thyroid state. It is concluded that thyroid 
hormone causes an increase in the mitochondrial mass, mitochondrial cytochrome 
content, and respiratory rate, and consequently expands the capacity of 
oxidative metabolism without an uncoupling effect on oxidative phosphorylation."
216895,"If patients with hyperlipoproteinemia type IIa are treated with diet and 
additionally over a period of two weeks with 2 grams of Clofibrate daily, the 
cholesterol-level in the serum decreases. This decrease is caused mainly by a 
reduction of the apolipoprotein B and the LDL-cholesterol in serum. If elevated 
cholesterol-levels in the serum are reduced through a ""prudent"" diet, the 
concentration of apolipoprotein B in serum remains the same. It is not fully 
understood which influence a diet, which is rich in poly-unsaturated fatty acids 
and has a low content of saturated fatty acids and carbohydrates, has upon the 
lipoproteins in the serum. The mode of action of this diet and its significance 
for the concentration of HDL need further investigation."
273896,"Pyrimidine-purine DNAs with repeating sequences can be made to undergo a 
reversible transition to possibly a tetra-stranded complex. Physicochemical 
characterization of the new structures and model building are consistent with, 
in the case of d(TC)n-d(GA)n, a tetra-stranded complex forming by the addition 
of d(GA)n to the remaining space in the major groove of the triple-stranded 
complex d(TC)n-d(GA)n-d(CT)n. A possible role for tetra-stranded complexes in 
chromosome condensation is suggested by the natural occurrence of repeating 
sequence pyrimidine-purine DNAs and the properties of condensed chromosomes."
281140,"Since experimental and clinical evidence supports some role of musculature in 
determining the form and size of facial bones during the active periods of 
growth after birth, this study addresses the same basic relationships between 
muscle and bone during the periods of active growth before birth. The 
relationship between the masseter muscle and the mandible, including its ramal 
and body components, was chosen as the model for study in nineteen human fetuses 
(ages 16 to 36 weeks). Cross-sectional cephalometric data indicated that, 
although increases in the size of the muscle and mandible were linearly related 
to increasing age, the ramal portion of the mandible was more closely related to 
changes in the masseter muscle than to changes in the mandibular body. Moreover, 
it appears that reorientation of the muscle anteriorly and downward precedes a 
similar reorientation of the ramus, with the combination of both fetal events 
leading to the typical relationships of the two structures expected after birth. 
Although this study does not get to cause-and-effect relationships, and although 
the fetal specimens cannot be monitored longitudinally over time, the 
parallelisms between our prenatal findings and those reported for postnatal 
periods certainly lend further support to the observation that many aspects of 
morphogenesis and growth are continual processes spanning the periods on either 
side of birth."
287325,"Various methods of diagnosing allergic factors in chronic rhinitis are 
discussed. Among the procedures which aim at detecting specific allergens, i.e. 
skin testing, RAST, and nasal provocation tests, the last mentioned, as they are 
performed directly on the shock organ, have so far been found to give the most 
accurate picture of clinically dominant allergens and of the intensity and 
character of the rhinitis. However, information obtained by analysing the 
correlations between different procedures is not unanimous. As long as test 
techniques and allergen extracts have not been standardized, one particular test 
cannot be recommended as the method of choice."
305444,"B cells that carry the complement receptor (CR+) were separated from B cells 
that lack the complement receptor (CR-) by velocity sedimentation or by passage 
through C-coated Sephadex columns. The kinetics of responses to bacterial 
lipopolysaccharide (LPS) in both B cell subpopulations were determined in three 
assay procedures: 1) incorporation of radioactive thymidine into DNA; 2) 
incorporation of radioactive leucine into immunoglobulin; 3) enumeration of 
cells forming polyclonal antibody to the 2,4,6-trinitrophenyl hapten. Although 
both subpopulations of B cells responded to LPS, they differed in the time 
course. CR- B cells responded with a delay of approximately 24 hr as compared 
with the response of CR+ B cells. The implications to the ontogenetic status of 
CR+ and CR- B subpopulations are discussed."
308321,"A 12-year-old girl and a 30-year-old woman had bilateral optic disk hypoplasia 
and bitemporal hemianopia. By using computed axial tomography on our patients, 
we demonstrated the absence of the septum pellucidum, which confirmed the 
diagnosis of septo-optic dysplasia, or the de Morsier syndrome."
308705,"Acute purulent pericarditis was treated successfully in five children between 
the ages of 27 months and 11 1/2 years during the past 5 years. The responsible 
organism was Hemophilus influenzae, type b, in two cases and Meningococcus, 
Pneumococcus, and coagulase-positive Staphylococcus aureus in one case each. No 
primary source of infection could be identified in two patients. A high index of 
suspicion, combined with immediate echocardiograms and pericardiocentesis, led 
to the diagnosis. Immediate antibiotic therapy was instituted on the basis of 
the gram stain of the pericardial fluid. All five patients had a pericardial 
window established--four through subxyphoid approach and the fifth, because of a 
left pleural effusion, through a left thoracotomy. When the subxyphoid approach 
was used, sump drains were left for postoperative suction and irrigation. All 
five patients survived without sequalae during follow-up periods of from 18 
months to 5 years. We advocate an aggressive approach to the diagnosis and 
treatment of this problem. This report documents the safety, ease, and 
effectiveness of the subxyphoid approach as a means of drainage."
313731,"A case of a nine year and eight months old child with Kartagener's syndrome 
(triad) is described: chronic maxillary sinusitis, bronchiectasis and ""situs 
inversus totalis"". Literature is reviewed. It is important to understand 
genetical and etiology aspects of bronchiectasis. Diagnosis was considered on 
the basis of physical and radiographic examination."
